Question,Answer
What are user telephone numbers?,https://learn.microsoft.com/en-us/microsoftteams/manage-phone-numbers-landing-page#user-telephone-numbers
What are service telephone numbers?,https://learn.microsoft.com/en-us/microsoftteams/manage-phone-numbers-landing-page#service-telephone-numbers
Where are phone numbers managed?,https://learn.microsoft.com/en-us/microsoftteams/manage-phone-numbers-landing-page#where-phone-numbers-are-managed
How many phone numbers can you get?,https://learn.microsoft.com/en-us/microsoftteams/how-many-phone-numbers-can-you-get
How do I acquire user phone numbers?,https://learn.microsoft.com/en-us/microsoftteams/getting-phone-numbers-for-your-users
How do I add/change/remove a phone number for a user?,https://learn.microsoft.com/en-us/microsoftteams/assign-change-or-remove-a-phone-number-for-a-user
How do I change the usage/type of a phone number?,https://learn.microsoft.com/en-us/microsoftteams/manage-the-usage-of-a-phone-number
How do I view the phone numbers I own?,https://learn.microsoft.com/en-us/microsoftteams/see-a-list-of-phone-numbers-in-your-organization
Where do I find country specific information for managing phone numbers?,https://learn.microsoft.com/en-us/microsoftteams/manage-phone-numbers-for-your-organization/manage-phone-numbers-for-your-organization
How do I acquire service phone numbers?,https://learn.microsoft.com/en-us/microsoftteams/getting-service-phone-numbers
,
What is a port order?,https://learn.microsoft.com/en-us/microsoftteams/phone-number-calling-plans/port-order-overview
What countries or regions support number porting?,https://learn.microsoft.com/en-us/microsoftteams/phone-number-calling-plans/port-order-overview#what-countries-or-regions-support-number-porting
What numbers can I port/transfer?,https://learn.microsoft.com/en-us/microsoftteams/phone-number-calling-plans/port-order-overview#what-numbers-can-be-transferred
Can I transfer only some of my numbers?,https://learn.microsoft.com/en-us/microsoftteams/phone-number-calling-plans/port-order-overview#what-are-full-port-and-partial-port-transfers
Can I submit one request for all my numbers?,https://learn.microsoft.com/en-us/microsoftteams/phone-number-calling-plans/port-order-overview#can-i-submit-a-single-number-porting-request-for-all-of-my-numbers-at-one-time
How long does it take to port numbers?,https://learn.microsoft.com/en-us/microsoftteams/phone-number-calling-plans/port-order-overview#how-long-does-it-take-to-port-numbers
Can I transfer my numbers out of Microsoft Teams?,https://learn.microsoft.com/en-us/microsoftteams/phone-number-calling-plans/port-order-overview#how-long-does-it-take-to-port-numbers
Troubleshooting/Common Mistakes,https://learn.microsoft.com/en-us/microsoftteams/phone-number-calling-plans/port-order-overview#common-mistakes-to-watch-out-for
,
How do I transfer phone numbers to Microsoft Teams?,https://learn.microsoft.com/en-us/microsoftteams/phone-number-calling-plans/transfer-phone-numbers-to-teams
How do I manually submit a port order?,https://learn.microsoft.com/en-us/microsoftteams/phone-number-calling-plans/manually-submit-port-order
How do I view the status of my port orders?,https://learn.microsoft.com/en-us/microsoftteams/phone-number-calling-plans/port-order-status
What race centers does Microsoft support?,https://learn.microsoft.com/en-us/microsoftteams/phone-number-calling-plans/supported-rate-centers-coverage-matrix
Where i can dowload the LOA?,https://learn.microsoft.com/en-us/microsoftteams/manage-phone-numbers-for-your-organization/manage-phone-numbers-for-your-organization
What is the required documentation for porting in specific country?,https://learn.microsoft.com/en-us/microsoftteams/manage-phone-numbers-for-your-organization/manage-phone-numbers-for-your-organization
,
What calling plans does Microsoft have?,https://learn.microsoft.com/en-us/microsoftteams/calling-plans-for-office-365
,
What calling plans are available in which countries?,https://learn.microsoft.com/en-us/microsoftteams/country-and-region-availability-for-audio-conferencing-and-calling-plans/country-and-region-availability-for-audio-conferencing-and-calling-plans
,
What is the Telephone Number Services Service Desk?,https://learn.microsoft.com/en-us/MicrosoftTeams/manage-phone-numbers-for-your-organization/contact-tns-service-desk
How do I create a new case?,https://learn.microsoft.com/en-us/MicrosoftTeams/manage-phone-numbers-for-your-organization/contact-tns-service-desk#create-a-new-case
How do I view my cases?,https://learn.microsoft.com/en-us/MicrosoftTeams/manage-phone-numbers-for-your-organization/contact-tns-service-desk#view-and-manage-existing-cases
